,Name,Max Temp,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Wind Speed
0,Busselton,82.0,83,AU,04/09/2020,40,-33.65,115.33,7.09
1,Medicine Hat,26.6,1,CA,04/09/2020,73,50.05,-110.67,2.24
2,Hermanus,62.2,37,ZA,04/09/2020,47,-34.42,19.23,6.73
3,Rikitea,76.66,82,PF,04/09/2020,79,-23.12,-134.97,8.08
4,Barrow,-11.2,1,US,04/09/2020,76,71.29,-156.79,5.82
5,Ust-Maya,35.2,100,RU,04/09/2020,90,60.42,134.53,3.8
6,La Troncal,59.0,87,EC,04/09/2020,82,-2.4,-79.33,2.24
7,Tuatapere,52.0,68,NZ,04/09/2020,90,-46.13,167.68,5.01
8,Yuzhno-Kurilsk,31.98,100,RU,04/09/2020,97,44.03,145.86,12.53
9,Norman Wells,26.6,75,CA,04/09/2020,92,65.28,-126.83,2.24
10,Robertsport,80.46,72,LR,04/09/2020,87,6.75,-11.37,7.38
11,Tasiilaq,24.8,2,GL,04/09/2020,62,65.61,-37.64,2.24
12,Vestmannaeyjar,36.79,100,IS,04/09/2020,77,63.44,-20.27,2.82
13,Saint-Pierre,86.0,0,RE,04/09/2020,62,-21.34,55.48,4.7
14,Mataura,52.0,100,NZ,04/09/2020,90,-46.19,168.86,5.01
15,‘Āhuimanu,75.2,90,US,04/09/2020,83,21.44,-157.84,4.7
16,Adré,80.08,40,TD,04/09/2020,12,13.47,22.2,15.3
17,Black Diamond,50.0,1,US,04/09/2020,70,47.31,-122.0,3.36
18,Port Alfred,66.15,81,ZA,04/09/2020,67,-33.59,26.89,26.62
19,Turaif,60.8,53,SA,04/09/2020,55,31.67,38.66,17.22
20,Omboué,78.57,96,GA,04/09/2020,90,-1.57,9.26,6.51
21,Bredasdorp,62.6,23,ZA,04/09/2020,59,-34.53,20.04,3.36
22,Cedar City,42.8,90,US,04/09/2020,87,37.68,-113.06,10.29
23,Bluff,52.0,99,NZ,04/09/2020,90,-46.6,168.33,5.01
24,San Cristobal,69.51,78,VE,04/09/2020,62,7.77,-72.22,1.5
25,Makkah al Mukarramah,84.87,7,SA,04/09/2020,34,21.43,39.83,0.2
26,Rosetown,19.0,62,CA,04/09/2020,80,51.55,-108.0,5.01
27,Bom Jesus,73.85,95,BR,04/09/2020,78,-9.07,-44.36,1.34
28,Villarrica,52.83,10,PY,04/09/2020,67,-25.75,-56.43,4.81
29,Port Elizabeth,66.2,95,ZA,04/09/2020,77,-33.92,25.57,16.11
30,Iwaki,55.0,75,JP,04/09/2020,39,37.05,140.88,16.11
31,Khatanga,34.7,100,RU,04/09/2020,98,71.97,102.5,13.38
32,Chaozhou,78.8,20,CN,04/09/2020,31,23.67,116.64,8.95
33,Albany,43.0,75,US,04/09/2020,81,42.6,-73.97,2.75
34,Deputatsky,17.08,61,RU,04/09/2020,91,69.3,139.9,3.87
35,Zhigansk,33.35,100,RU,04/09/2020,95,66.77,123.37,15.64
36,Oktyabr'skoye,51.8,0,RU,04/09/2020,34,43.06,44.74,4.47
37,Pevek,1.72,100,RU,04/09/2020,93,69.7,170.31,9.95
38,Puerto Ayora,79.0,37,EC,04/09/2020,90,-0.74,-90.35,4.0
39,Cowansville,42.8,90,CA,04/09/2020,56,45.2,-72.75,4.05
40,Coquimbo,60.8,71,CL,04/09/2020,82,-29.95,-71.34,4.7
